title,keySpecs,rating,ratingCount,price,url
"realme C25_Y (Metal Grey, 128 GB)","['4 GB RAM | 128 GB ROM', '16.51 cm (6.5 inch) HD+ Display', '50MP + 2MP + 2MP | 8MP Front Camera', '5000 mAh LiPo Battery', 'Unisoc T618 Processor']",4.5,3447,11999,http://dl.flipkart.com/dl/realme-c25-y-metal-grey-128-gb/p/itmfa9a55c0fe2ea?pid=MOBG8SHDZ9EHZARM
"realme Narzo 50A (Oxygen Blue, 64 GB)","['4 GB RAM | 64 GB ROM | Expandable Upto 256 GB', '16.51 cm (6.5 inch) HD+ Display', '50MP + 2MP + 2MP | 8MP Front Camera', '6000 mAh Battery', 'MediaTek Helio G85 Processor']",4.4,150581,11499,http://dl.flipkart.com/dl/realme-narzo-50a-oxygen-blue-64-gb/p/itm81d679403c2b4?pid=MOBG6MY4UGGFQWYY
"realme C25Y (Glacier Blue, 64 GB)","['4 GB RAM | 64 GB ROM | Expandable Upto 256 GB', '16.51 cm (6.5 inch) HD+ Display', '50MP + 2MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Unisoc T610 Octa Core Processor']",4.5,76718,10999,http://dl.flipkart.com/dl/realme-c25y-glacier-blue-64-gb/p/itm14ec0239363bc?pid=MOBG7984SZDDBAZJ
I Kall K65,"['64 MB RAM | 64 MB ROM', '6.1 cm (2.4 inch) Display', '0.3MP Rear Camera', '1000 mAh Battery']",3.3,4747,1399,http://dl.flipkart.com/dl/i-kall-k65/p/itm2985be6588cfb?pid=MOBFN6R2WNH6XBHZ
"realme C11 2021 (Cool Grey, 32 GB)","['2 GB RAM | 32 GB ROM | Expandable Upto 256 GB', '16.51 cm (6.5 inch) HD+ Display', '8MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Octa-core Processor']",4.4,128743,7499,http://dl.flipkart.com/dl/realme-c11-2021-cool-grey-32-gb/p/itmbd856acb97c38?pid=MOBG4BEGX8QYNKGZ
"realme Narzo 50A (Oxygen Green, 128 GB)","['4 GB RAM | 128 GB ROM | Expandable Upto 256 GB', '16.51 cm (6.5 inch) HD+ Display', '50MP + 2MP + 2MP | 8MP Front Camera', '6000 mAh Battery', 'MediaTek Helio G85 Processor']",4.4,150581,12499,http://dl.flipkart.com/dl/realme-narzo-50a-oxygen-green-128-gb/p/itm81d679403c2b4?pid=MOBG6MY4DNG9688H
"realme Narzo 50A (Oxygen Blue, 128 GB)","['4 GB RAM | 128 GB ROM | Expandable Upto 256 GB', '16.51 cm (6.5 inch) HD+ Display', '50MP + 2MP + 2MP | 8MP Front Camera', '6000 mAh Battery', 'MediaTek Helio G85 Processor']",4.4,150581,12499,http://dl.flipkart.com/dl/realme-narzo-50a-oxygen-blue-128-gb/p/itm81d679403c2b4?pid=MOBG6MY4JGHHADW8
I Kall k-80 pen Mobile,"['32 MB RAM | 64 MB ROM', '2.44 cm (0.96 inch) Display', '0.3MP Rear Camera', '600 mAh Battery']",3.7,415,1699,http://dl.flipkart.com/dl/kall-k-80-pen-mobile/p/itm09dc630b43caa?pid=MOBFM3TZCXB3MFHY
"realme C25_Y (Glacier Blue, 128 GB)","['4 GB RAM | 128 GB ROM', '16.51 cm (6.5 inch) HD+ Display', '50MP + 2MP + 2MP | 8MP Front Camera', '5000 mAh LiPo Battery', 'Unisoc T618 Processor']",4.5,3447,11999,http://dl.flipkart.com/dl/realme-c25-y-glacier-blue-128-gb/p/itmfa9a55c0fe2ea?pid=MOBG8SHDYGZJZPPF
"realme C11 2021 (Cool Blue, 32 GB)","['2 GB RAM | 32 GB ROM | Expandable Upto 256 GB', '16.51 cm (6.5 inch) HD+ Display', '8MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Octa-core Processor']",4.4,128743,7499,http://dl.flipkart.com/dl/realme-c11-2021-cool-blue-32-gb/p/itmbd856acb97c38?pid=MOBG4BEG3HG78BDG
"realme C11 2021 (Cool Blue, 64 GB)","['4 GB RAM | 64 GB ROM | Expandable Upto 256 GB', '16.51 cm (6.5 inch) HD+ Display', '8MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Octa-core Processor']",4.3,117482,8999,http://dl.flipkart.com/dl/realme-c11-2021-cool-blue-64-gb/p/itmbd856acb97c38?pid=MOBG5BCDBHPYMT5B
I Kall K14,"['32 MB RAM | 32 MB ROM', '4.57 cm (1.8 inch) Display', '800 mAh Battery']",3.5,1942,709,http://dl.flipkart.com/dl/i-kall-k14/p/itm555edc8509ff0?pid=MOBFZZ2RP2DNNEFG
"realme C11 2021 (Cool Grey, 64 GB)","['4 GB RAM | 64 GB ROM | Expandable Upto 256 GB', '16.51 cm (6.5 inch) HD+ Display', '8MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Octa-core Processor']",4.3,117482,8999,http://dl.flipkart.com/dl/realme-c11-2021-cool-grey-64-gb/p/itmbd856acb97c38?pid=MOBG5BCDJ68N57TH
